lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.047727346420288,3083487744.0,1.047727346420288,-1.0,-1.0,-1.0,nan,0.005469664931297302,1.0,308347.71875,3.3996191024780273,308344.3125,1.0,1.048478126525879,1.047727346420288,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.002081036567688,1.0143110752105713,100.0,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,5956029952.0,1.0510613918304443,-1.0,-1.0,-1.0,nan,0.005461174063384533,1.0,595601.9375,3.3633079528808594,595598.5625,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0785725116729736,737407936.0,1.0785725116729736,-1.0,-1.0,-1.0,nan,0.005479690618813038,1.0,73739.7109375,6.805334091186523,73732.90625,1.0,1.0695441961288452,1.0785725116729736,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0016671419143677,1.0134731531143188,50.50505065917969,0.01979999989271164,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.046607255935669,1501424640.0,1.046607255935669,-1.0,-1.0,-1.0,nan,0.005466399248689413,1.0,150141.421875,6.719148635864258,150134.703125,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1093326807022095,165494000.0,1.1093326807022095,-1.0,-1.0,-1.0,nan,0.005535367876291275,1.0,16548.28515625,10.716906547546387,16537.568359375,1.0,1.0973961353302002,1.1093326807022095,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0066112279891968,1.0235038995742798,33.783782958984375,0.029600000008940697,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0776723623275757,489787616.0,1.0776723623275757,-1.0,-1.0,-1.0,nan,0.005518829450011253,1.0,48977.6796875,10.149836540222168,48967.53125,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2837573289871216,71602432.0,1.2837573289871216,-1.0,-1.0,-1.0,nan,0.0056060184724628925,1.0,7158.95361328125,20.483726501464844,7138.47021484375,1.0,1.227849006652832,1.2837573289871216,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0130369663238525,1.0366154909133911,25.38071060180664,0.039400000125169754,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.1137022972106934,131679320.0,1.1137022972106934,-1.0,-1.0,-1.0,nan,0.005586554296314716,1.0,13166.8125,14.17282772064209,13152.6396484375,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2.464890241622925,52832232.0,2.464890241622925,-1.0,-1.0,-1.0,nan,0.005857972893863916,1.0,5280.751953125,74.3646240234375,5206.38720703125,1.0,2.093777894973755,2.464890241622925,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.041602373123169,1.0959217548370361,20.32520294189453,0.04919999837875366,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2849701642990112,55803912.0,1.2849701642990112,-1.0,-1.0,-1.0,nan,0.005836755037307739,1.0,5579.10009765625,24.83664894104004,5554.263671875,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,6.84089469909668,43615392.0,6.84089469909668,-1.0,-1.0,-1.0,nan,0.007140743546187878,1.0,4354.69091796875,123.3070297241211,4231.3837890625,1.0,5.416759490966797,6.84089469909668,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.1888505220413208,1.4280494451522827,16.94915199279785,0.05900000035762787,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2.578801155090332,43930008.0,2.578801155090332,-1.0,-1.0,-1.0,nan,0.0071154264733195305,1.0,4390.4150390625,87.86458587646484,4302.55029296875,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,9.083303451538086,35681808.0,9.083303451538086,-1.0,-1.0,-1.0,nan,0.010248823091387749,1.0,3559.087158203125,131.0688934326172,3428.0185546875,1.0,7.983340263366699,9.083303451538086,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.505068063735962,2.2908453941345215,14.534883499145508,0.06880000233650208,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.51807165145874,37271888.0,7.51807165145874,-1.0,-1.0,-1.0,nan,0.01021354366093874,1.0,3719.660400390625,142.5943145751953,3577.066162109375,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,4.623116493225098,29441658.0,4.623116493225098,-1.0,-1.0,-1.0,nan,0.011950639076530933,1.0,2939.531005859375,103.67878723144531,2835.852294921875,1.0,5.631183624267578,4.623116493225098,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.65729820728302,2.778970956802368,12.722646713256836,0.07859999686479568,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9.009530067443848,31400214.0,9.009530067443848,-1.0,-1.0,-1.0,nan,0.01191025786101818,1.0,3131.0,148.833740234375,2982.166259765625,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1.9483599662780762,25933900.0,1.9483599662780762,-1.0,-1.0,-1.0,nan,0.010473167523741722,1.0,2591.431396484375,58.958255767822266,2532.47314453125,1.0,3.0532069206237793,1.9483599662780762,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.5196490287780762,2.3355512619018555,11.312216758728027,0.08839999884366989,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.424267292022705,26851436.0,4.424267292022705,-1.0,-1.0,-1.0,nan,0.010438521392643452,1.0,2680.708740234375,115.44441223144531,2565.264404296875,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,1.1952975988388062,22857190.0,1.1952975988388062,-1.0,-1.0,-1.0,nan,0.008327635936439037,1.0,2284.515380859375,27.405517578125,2257.10986328125,1.0,1.752670407295227,1.1952975988388062,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.3054335117340088,1.7223960161209106,10.18329906463623,0.0982000008225441,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.019009590148926,23262942.0,2.019009590148926,-1.0,-1.0,-1.0,nan,0.008301110938191414,1.0,2324.266845703125,64.59265899658203,2259.674072265625,1.0
0.004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,1.0834206342697144,21180784.0,1.0834206342697144,-1.0,-1.0,-1.0,nan,0.006802285090088844,1.0,2116.988037109375,17.0334415435791,2099.95458984375,1.0,1.2841955423355103,1.0834206342697144,10.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.1375898122787476,1.3074069023132324,9.259259223937988,0.1080000028014183,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1.1830099821090698,20831204.0,1.1830099821090698,-1.0,-1.0,-1.0,nan,0.006781447678804398,1.0,2081.9306640625,29.69077491760254,2052.239990234375,1.0
0.004,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,1.0074262619018555,18693414.0,1.0074262619018555,-1.0,-1.0,-1.0,nan,0.006093958392739296,1.0,1868.3277587890625,16.36528205871582,1851.962646484375,1.0,1.0904569625854492,1.0074262619018555,11.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.053239107131958,1.1205590963363647,8.488964080810547,0.11779999732971191,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1.0816261768341064,19159246.0,1.0816261768341064,-1.0,-1.0,-1.0,nan,0.006076470483094454,1.0,1914.8369140625,18.721416473388672,1896.115478515625,1.0
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.9487773776054382,17456368.0,0.9487773776054382,-1.0,-1.0,-1.0,nan,0.0057618701830506325,1.0,1744.68212890625,15.581038475036621,1729.1011962890625,1.0,0.991281270980835,0.9487773776054382,12.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.011447548866272,1.0333645343780518,7.836990833282471,0.12759999930858612,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.0078754425048828,17156712.0,1.0078754425048828,-1.0,-1.0,-1.0,nan,0.0057466463185846806,1.0,1714.657470703125,18.290536880493164,1696.366943359375,1.0
0.004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.8989941477775574,15935709.0,0.8989941477775574,-1.0,-1.0,-1.0,nan,0.005583889316767454,1.0,1592.66650390625,13.109394073486328,1579.55712890625,1.0,0.9266802668571472,0.8989941477775574,13.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.9878568649291992,0.9857184886932373,7.27802038192749,0.13740000128746033,0.0,0.30000001192092896,13,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.9439456462860107,16224919.0,0.9439456462860107,-1.0,-1.0,-1.0,nan,0.005569203291088343,1.0,1621.54248046875,17.47576332092285,1604.0667724609375,1.0
0.004,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.8012622594833374,15087716.0,0.8012622594833374,-1.0,-1.0,-1.0,nan,0.00546585489064455,1.0,1507.96484375,9.39089298248291,1498.5738525390625,1.0,0.8388876914978027,0.8012622594833374,14.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.9715205430984497,0.9533894658088684,6.793478488922119,0.14720000326633453,0.0,0.30000001192092896,14,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.9012269973754883,14939314.0,0.9012269973754883,-1.0,-1.0,-1.0,nan,0.005451774224638939,1.0,1493.024658203125,14.814610481262207,1478.2100830078125,1.0
0.004,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.6735839247703552,13940721.0,0.6735839247703552,-1.0,-1.0,-1.0,nan,0.005289406981319189,1.0,1393.39306640625,5.954507350921631,1387.438720703125,1.0,0.723175048828125,0.6735839247703552,15.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.9478902816772461,0.9075899720191956,6.369426727294922,0.15700000524520874,0.0,0.30000001192092896,15,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8046653866767883,13993921.0,0.8046653866767883,-1.0,-1.0,-1.0,nan,0.005276664160192013,1.0,1398.5821533203125,10.653002738952637,1387.92919921875,1.0
0.004,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.5568509697914124,12726290.0,0.5568509697914124,-1.0,-1.0,-1.0,nan,0.005031459964811802,1.0,1272.067138671875,3.8714439868927,1268.1956787109375,1.0,0.6067481637001038,0.5568509697914124,16.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.9137263298034668,0.8433890342712402,5.995203971862793,0.16680000722408295,0.0,0.30000001192092896,16,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.6754044890403748,13029304.0,0.6754044890403748,-1.0,-1.0,-1.0,nan,0.005020250100642443,1.0,1302.25,6.683498859405518,1295.5665283203125,1.0
0.004,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.4727886915206909,12121987.0,0.4727886915206909,-1.0,-1.0,-1.0,nan,0.004742420744150877,1.0,1211.72119140625,2.7485177516937256,1208.97265625,1.0,0.5129765272140503,0.4727886915206909,17.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.8749244809150696,0.7733616232872009,5.6625142097473145,0.17659999430179596,0.0,0.30000001192092896,17,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5586707592010498,12280125.0,0.5586707592010498,-1.0,-1.0,-1.0,nan,0.004732304718345404,1.0,1227.4490966796875,4.30060338973999,1223.1484375,1.0
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0.42107081413269043,11781055.0,0.42107081413269043,-1.0,-1.0,-1.0,nan,0.004483616445213556,1.0,1177.679931640625,2.5089774131774902,1175.1708984375,1.0,0.4486425220966339,0.42107081413269043,18.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.8393740653991699,0.7118993401527405,5.364806652069092,0.18639999628067017,0.0,0.30000001192092896,18,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.47511741518974304,11375421.0,0.47511741518974304,-1.0,-1.0,-1.0,nan,0.0044745090417563915,1.0,1137.0625,2.9690043926239014,1134.093505859375,1.0
0.004,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,0.38395145535469055,11005055.0,0.38395145535469055,-1.0,-1.0,-1.0,nan,0.004289768170565367,1.0,1100.1173095703125,2.991865634918213,1097.12548828125,1.0,0.4033587574958801,0.38395145535469055,19.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.8120495080947876,0.6664116978645325,5.096839904785156,0.19619999825954437,0.0,0.30000001192092896,19,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.42335543036460876,10917928.0,0.42335543036460876,-1.0,-1.0,-1.0,nan,0.004281683824956417,1.0,1091.365234375,2.6703217029571533,1088.6949462890625,1.0
0.004,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.39599648118019104,10409646.0,0.39599648118019104,-1.0,-1.0,-1.0,nan,0.00414356729015708,1.0,1040.564453125,3.9673471450805664,1036.5970458984375,1.0,0.3982051610946655,0.39599648118019104,20.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.790996253490448,0.6324031949043274,4.854369163513184,0.20600000023841858,0.0,0.30000001192092896,20,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.40124180912971497,10460321.0,0.40124180912971497,-1.0,-1.0,-1.0,nan,0.004136503208428621,1.0,1045.626708984375,3.22963809967041,1042.3970947265625,1.0
