lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0453007221221924,351445.46875,1.0453007221221924,-1.0,-1.0,-1.0,nan,0.005428883247077465,1.0,34.09381866455078,3.2578325271606445,30.835987091064453,1.0,1.0467795133590698,1.0453007221221924,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,639796.4375,1.0510613918304443,-1.0,-1.0,-1.0,nan,0.005420564673841,1.0,62.923160552978516,3.3633079528808594,59.559852600097656,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0762908458709717,187083.953125,1.0762908458709717,-1.0,-1.0,-1.0,nan,0.005442016292363405,1.0,17.62666130065918,3.0284368991851807,14.598224639892578,1.0,1.0674374103546143,1.0762908458709717,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0442475080490112,340373.84375,1.0442475080490112,-1.0,-1.0,-1.0,nan,0.005428883247077465,1.0,32.987709045410156,3.257053852081299,29.730655670166016,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1025768518447876,85763.453125,1.1025768518447876,-1.0,-1.0,-1.0,nan,0.005458245985209942,1.0,7.468310356140137,2.6224048137664795,4.845905780792236,1.0,1.0920350551605225,1.1025768518447876,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0753785371780396,186015.453125,1.0753785371780396,-1.0,-1.0,-1.0,nan,0.005442015826702118,1.0,17.52072525024414,3.0342626571655273,14.486461639404297,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2535772323608398,67879.921875,1.2535772323608398,-1.0,-1.0,-1.0,nan,0.005477202590554953,1.0,5.528937816619873,2.7496984004974365,2.7792394161224365,1.0,1.2051146030426025,1.2535772323608398,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.106534719467163,88685.2265625,1.106534719467163,-1.0,-1.0,-1.0,nan,0.005458245985209942,1.0,7.756529808044434,2.6309521198272705,5.125577449798584,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.259284496307373,57564.7265625,1.259284496307373,-1.0,-1.0,-1.0,nan,0.005496249999850988,1.0,4.491691589355469,1.8342899084091187,2.6574020385742188,1.0,1.243033528327942,1.259284496307373,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2550337314605713,66630.9609375,1.2550337314605713,-1.0,-1.0,-1.0,nan,0.005477202590554953,1.0,5.402585029602051,2.6981616020202637,2.704423666000366,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1.1380574703216553,51606.03125,1.1380574703216553,-1.0,-1.0,-1.0,nan,0.005513787269592285,1.0,4.017031669616699,1.4113651514053345,2.605666399002075,1.0,1.1695502996444702,1.1380574703216553,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.2590240240097046,57498.65234375,1.2590240240097046,-1.0,-1.0,-1.0,nan,0.005496249534189701,1.0,4.485344886779785,1.8579494953155518,2.6273956298828125,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.9475342631340027,41286.16796875,0.9475342631340027,-1.0,-1.0,-1.0,nan,0.005531010217964649,1.0,3.175551414489746,0.7206864953041077,2.454864978790283,1.0,1.0141390562057495,0.9475342631340027,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.141626000404358,51553.2578125,1.141626000404358,-1.0,-1.0,-1.0,nan,0.005513787269592285,1.0,4.008186340332031,1.436400055885315,2.571786403656006,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.8605750799179077,34763.90234375,0.8605750799179077,-1.0,-1.0,-1.0,nan,0.005547699984163046,1.0,2.610267400741577,0.24003800749778748,2.370229482650757,1.0,0.9066442847251892,0.8605750799179077,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.9491860866546631,41559.62109375,0.9491860866546631,-1.0,-1.0,-1.0,nan,0.005531009752303362,1.0,3.201244831085205,0.7517222166061401,2.4495224952697754,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.9366199374198914,35143.43359375,0.9366199374198914,-1.0,-1.0,-1.0,nan,0.0055635301396250725,1.0,2.572160005569458,0.2715141475200653,2.3006458282470703,1.0,0.9276272058486938,0.9366199374198914,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8617929220199585,35092.015625,0.8617929220199585,-1.0,-1.0,-1.0,nan,0.005547699984163046,1.0,2.6418609619140625,0.2585054636001587,2.3833556175231934,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.7378378510475159,33373.33984375,0.7378378510475159,-1.0,-1.0,-1.0,nan,0.005578835029155016,1.0,2.59391713142395,0.3807264566421509,2.213190793991089,1.0,0.7947746515274048,0.7378378510475159,9.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.9377150535583496,35018.3671875,0.9377150535583496,-1.0,-1.0,-1.0,nan,0.0055635301396250725,1.0,2.558558225631714,0.29197636246681213,2.2665817737579346,1.0
0.004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.6019432544708252,31890.640625,0.6019432544708252,-1.0,-1.0,-1.0,nan,0.005593867972493172,1.0,2.581526756286621,0.32074740529060364,2.26077938079834,1.0,0.6597926616668701,0.6019432544708252,10.0,0.004000000189989805,0.019999999552965164,0.0,0.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.0,0.30000001192092896,10,,,,,,,,,,,,,
