lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0457491874694824,626949824.0,1.0457491874694824,-1.0,-1.0,-1.0,nan,5.428997155831894e-06,1.0,62693.94140625,10808.650390625,51885.2890625,1.0,1.047093391418457,1.0457491874694824,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,16.81862449645996,33.63724899291992,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,1114857856.0,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,111484.7265625,11313.2431640625,100171.484375,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0815974473953247,110591852544.0,1.0815974473953247,-1.0,-1.0,-1.0,nan,5.442238943942357e-06,1.0,11059185.0,3157832.75,7901351.0,1.0,1.0712462663650513,1.0815974473953247,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,5404.3251953125,10808.650390625,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0446887016296387,195469262848.0,1.0446887016296387,-1.0,-1.0,-1.0,nan,5.428997155831894e-06,1.0,19546924.0,3472297.75,16074627.0,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1635490655899048,15046497271808.0,1.1635490655899048,-1.0,-1.0,-1.0,nan,5.458648047351744e-06,1.0,1504649728.0,743714048.0,760935616.0,1.0,1.1358582973480225,1.1635490655899048,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,1578916.375,3157832.75,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0810110569000244,32147320602624.0,1.0810110569000244,-1.0,-1.0,-1.0,nan,5.442238489195006e-06,1.0,3214732032.0,924217920.0,2290514176.0,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.4504876136779785,2552161640644608.0,1.4504876136779785,-1.0,-1.0,-1.0,nan,5.477949343912769e-06,1.0,255216156672.0,151471276032.0,103744872448.0,1.0,1.3560987710952759,1.4504876136779785,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,371857024.0,743714048.0,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.1676872968673706,3655049918021632.0,1.1676872968673706,-1.0,-1.0,-1.0,nan,5.458648047351744e-06,1.0,365504987136.0,176102735872.0,189402251264.0,1.0
