lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.0450212955474854,196819.28125,1.0450212955474854,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,18.63690185546875,3.213284492492676,15.423617362976074,1.0,1.046583890914917,1.0450212955474854,0.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0510613918304443,341943.03125,1.0510613918304443,-1.0,-1.0,-1.0,nan,5.420565230451757e-06,1.0,33.14323425292969,3.3633079528808594,29.779926300048828,1.0
0.004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.0755528211593628,113021.5078125,1.0755528211593628,-1.0,-1.0,-1.0,nan,5.44233307664399e-06,1.0,10.226592063903809,2.9215309619903564,7.305060863494873,1.0,1.0668621063232422,1.0755528211593628,1.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0439952611923218,191286.5625,1.0439952611923218,-1.0,-1.0,-1.0,nan,5.429097200249089e-06,1.0,18.08465576171875,3.2125244140625,14.87213134765625,1.0
0.004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1.1001520156860352,58665.265625,1.1001520156860352,-1.0,-1.0,-1.0,nan,5.458682608150411e-06,1.0,4.766368865966797,2.354706287384033,2.4116628170013428,1.0,1.0901650190353394,1.1001520156860352,2.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0746543407440186,112493.515625,1.0746543407440186,-1.0,-1.0,-1.0,nan,5.44233307664399e-06,1.0,10.174692153930664,2.9267449378967285,7.2479472160339355,1.0
0.004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1.2297289371490479,46495.0234375,1.2297289371490479,-1.0,-1.0,-1.0,nan,5.47779063708731e-06,1.0,3.4197683334350586,2.027637481689453,1.3921308517456055,1.0,1.1878597736358643,1.2297289371490479,3.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.1039795875549316,60200.04296875,1.1039795875549316,-1.0,-1.0,-1.0,nan,5.458682608150411e-06,1.0,4.916019439697266,2.3674843311309814,2.5485353469848633,1.0
0.004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1.1821144819259644,35806.44921875,1.1821144819259644,-1.0,-1.0,-1.0,nan,5.496840003615944e-06,1.0,2.3985252380371094,1.0601656436920166,1.3383594751358032,1.0,1.183838129043579,1.1821144819259644,4.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2316803932189941,46014.55859375,1.2316803932189941,-1.0,-1.0,-1.0,nan,5.47779063708731e-06,1.0,3.36976957321167,2.0144670009613037,1.3553024530410767,1.0
0.004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1.0108928680419922,28074.669921875,1.0108928680419922,-1.0,-1.0,-1.0,nan,5.514435088116443e-06,1.0,1.7965686321258545,0.4689077138900757,1.3276610374450684,1.0,1.0627764463424683,1.0108928680419922,5.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.1818413734436035,35901.28125,1.1818413734436035,-1.0,-1.0,-1.0,nan,5.496840003615944e-06,1.0,2.4082813262939453,1.0854053497314453,1.3228759765625,1.0
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.8651494383811951,23537.01171875,0.8651494383811951,-1.0,-1.0,-1.0,nan,5.532105205929838e-06,1.0,1.4885464906692505,0.23113498091697693,1.2574113607406616,1.0,0.9244375228881836,0.8651494383811951,6.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0139777660369873,28218.439453125,1.0139777660369873,-1.0,-1.0,-1.0,nan,5.514434633369092e-06,1.0,1.8078606128692627,0.4955519437789917,1.312308669090271,1.0
0.004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.8480066657066345,23354.58203125,0.8480066657066345,-1.0,-1.0,-1.0,nan,5.550134119403083e-06,1.0,1.4874461889266968,0.25735893845558167,1.2300872802734375,1.0,0.8709359169006348,0.8480066657066345,7.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.8656743764877319,23818.98828125,0.8656743764877319,-1.0,-1.0,-1.0,nan,5.532105205929838e-06,1.0,1.516218900680542,0.2586275339126587,1.2575913667678833,1.0
0.004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.7757254242897034,22479.19921875,0.7757254242897034,-1.0,-1.0,-1.0,nan,5.567453172261594e-06,1.0,1.47218918800354,0.3012858033180237,1.1709033250808716,1.0,0.8042885661125183,0.7757254242897034,8.0,0.004000000189989805,0.019999999552965164,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.004999999888241291,0.009999999776482582,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8489159941673279,23629.103515625,0.8489159941673279,-1.0,-1.0,-1.0,nan,5.550134119403083e-06,1.0,1.513988733291626,0.28353551030158997,1.2304532527923584,1.0
0.004,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
